latitude,longitude,ALLSKY_SFC_SW_DWN_JAN,ALLSKY_SFC_SW_DWN_FEB,ALLSKY_SFC_SW_DWN_MAR,ALLSKY_SFC_SW_DWN_APR,ALLSKY_SFC_SW_DWN_MAY,ALLSKY_SFC_SW_DWN_JUN,ALLSKY_SFC_SW_DWN_JUL,ALLSKY_SFC_SW_DWN_AUG,ALLSKY_SFC_SW_DWN_SEP,ALLSKY_SFC_SW_DWN_OCT,ALLSKY_SFC_SW_DWN_NOV,ALLSKY_SFC_SW_DWN_DEC,ALLSKY_SFC_SW_DWN_ANN,RH2M_JAN,RH2M_FEB,RH2M_MAR,RH2M_APR,RH2M_MAY,RH2M_JUN,RH2M_JUL,RH2M_AUG,RH2M_SEP,RH2M_OCT,RH2M_NOV,RH2M_DEC,RH2M_ANN,T2M_JAN,T2M_FEB,T2M_MAR,T2M_APR,T2M_MAY,T2M_JUN,T2M_JUL,T2M_AUG,T2M_SEP,T2M_OCT,T2M_NOV,T2M_DEC,T2M_ANN,WS2M_JAN,WS2M_FEB,WS2M_MAR,WS2M_APR,WS2M_MAY,WS2M_JUN,WS2M_JUL,WS2M_AUG,WS2M_SEP,WS2M_OCT,WS2M_NOV,WS2M_DEC,WS2M_ANN
22.5,25.0,5.1413,5.987,6.9679,7.6558,7.9409,8.1559,8.1149,7.7208,7.1794,6.2352,5.3686,4.854,6.7795,39.85,29.87,21.45,16.7,15.94,16.57,18.88,20.24,22.19,27.64,34.97,42.36,25.56,11.39,14.35,18.83,23.92,27.79,29.89,29.94,30.33,27.8,23.42,17.29,12.74,22.34,2.65,2.85,2.98,3.05,3.1,3.24,3.06,3.01,3.19,2.91,2.47,2.56,2.92
22.5,25.5,5.1413,5.987,6.9679,7.6558,7.9409,8.1559,8.1149,7.7208,7.1794,6.2352,5.3686,4.854,6.7795,42.13,31.7,22.72,17.63,16.68,17.3,19.48,20.86,23.28,29.07,37.47,45.12,26.95,10.49,13.38,17.86,22.88,26.8,28.99,29.21,29.62,26.97,22.59,16.4,11.86,21.45,2.64,2.79,2.86,2.93,2.97,3.14,2.99,2.91,3.1,2.84,2.41,2.54,2.84
22.5,26.0,5.1223,5.9647,6.8962,7.5991,7.9027,8.1403,8.106,7.7124,7.141,6.2028,5.34,4.8322,6.7493,41.68,31.47,22.71,17.63,16.6,17.09,18.81,20.17,22.98,29.09,38.01,45.21,26.78,11.01,13.86,18.24,23.16,27.18,29.52,30.09,30.49,27.62,23.12,16.82,12.33,21.99,2.61,2.68,2.82,2.89,2.98,3.21,3.0,2.94,3.29,3.11,2.61,2.66,2.9
22.5,26.5,5.1223,5.9647,6.8962,7.5991,7.9027,8.1403,8.106,7.7124,7.141,6.2028,5.34,4.8322,6.7493,41.68,31.47,22.71,17.63,16.6,17.09,18.81,20.17,22.98,29.09,38.01,45.21,26.78,11.01,13.86,18.24,23.16,27.18,29.52,30.09,30.49,27.62,23.12,16.82,12.33,21.99,2.61,2.68,2.82,2.89,2.98,3.21,3.0,2.94,3.29,3.11,2.61,2.66,2.9
22.5,27.0,5.0724,5.9251,6.8633,7.5895,7.8708,8.1022,8.0494,7.6366,7.0481,6.1272,5.2836,4.7911,6.6991,41.82,31.72,22.99,17.77,16.65,17.1,18.71,20.02,23.14,29.4,38.58,45.65,26.96,11.57,14.35,18.7,23.62,27.72,30.15,30.85,31.26,28.24,23.71,17.39,12.87,22.57,2.47,2.53,2.75,2.8,2.9,3.15,2.92,2.89,3.33,3.2,2.65,2.58,2.85
22.5,27.5,5.0724,5.9251,6.8633,7.5895,7.8708,8.1022,8.0494,7.6366,7.0481,6.1272,5.2836,4.7911,6.6991,41.16,31.24,22.72,17.48,16.31,16.68,18.33,19.56,22.67,28.67,37.99,44.96,26.48,12.22,14.98,19.31,24.24,28.41,30.91,31.64,32.06,29.03,24.54,18.14,13.56,23.29,2.64,2.7,2.94,3.0,3.13,3.41,3.15,3.2,3.68,3.54,2.93,2.79,3.09
22.5,28.0,5.0525,5.9023,6.8686,7.5914,7.8802,8.0933,8.0323,7.6116,7.0162,6.0984,5.1917,4.7419,6.6758,41.14,31.19,22.65,17.38,16.2,16.55,18.27,19.48,22.56,28.38,37.85,44.85,26.37,12.47,15.23,19.6,24.53,28.71,31.19,31.91,32.34,29.31,24.91,18.45,13.82,23.57,2.74,2.81,3.06,3.13,3.28,3.57,3.29,3.4,3.88,3.72,3.09,2.92,3.24
22.5,28.5,5.0525,5.9023,6.8686,7.5914,7.8802,8.0933,8.0323,7.6116,7.0162,6.0984,5.1917,4.7419,6.6758,40.61,30.69,22.18,16.95,15.82,16.2,17.96,19.15,22.03,27.63,37.05,43.94,25.85,12.81,15.6,20.03,24.99,29.15,31.6,32.26,32.73,29.76,25.46,18.89,14.2,23.99,2.75,2.85,3.08,3.18,3.34,3.64,3.33,3.48,3.93,3.68,3.07,2.9,3.27
22.5,29.0,5.0513,5.8718,6.8626,7.5521,7.8506,8.093,7.968,7.5048,6.9504,6.067,5.2236,4.7484,6.6478,40.61,30.69,22.18,16.95,15.82,16.2,17.96,19.15,22.03,27.63,37.05,43.94,25.85,12.81,15.6,20.03,24.99,29.15,31.6,32.26,32.73,29.76,25.46,18.89,14.2,23.99,2.75,2.85,3.08,3.18,3.34,3.64,3.33,3.48,3.93,3.68,3.07,2.9,3.27
22.5,29.5,5.0513,5.8718,6.8626,7.5521,7.8506,8.093,7.968,7.5048,6.9504,6.067,5.2236,4.7484,6.6478,39.79,29.94,21.62,16.54,15.44,15.8,17.52,18.71,21.42,26.78,36.06,42.73,25.19,13.27,16.09,20.53,25.47,29.61,32.04,32.7,33.19,30.28,26.09,19.44,14.71,24.49,2.78,2.9,3.1,3.21,3.36,3.63,3.31,3.49,3.91,3.64,3.05,2.9,3.27
