latitude,longitude,ALLSKY_SFC_SW_DWN_ANN,RH2M_ANN,T2M_ANN,WS2M_ANN
26.5,30.0,6.4402,36.41,21.5,3.19
26.5,30.5,6.4402,35.65,21.83,3.24
26.5,31.0,6.3998,34.48,22.15,3.04
26.5,31.5,6.3998,34.48,22.15,3.04
26.5,32.0,6.3533,30.15,24.25,3.09
26.5,32.5,6.3533,30.8,23.66,3.08
26.5,33.0,6.342,29.01,24.5,3.11
26.5,33.5,6.342,32.94,24.68,3.14
26.5,34.0,5.8742,32.94,24.68,3.14
27.0,25.0,6.2647,35.51,21.92,2.74
27.0,25.5,6.2647,36.55,21.53,2.68
27.0,26.0,6.271,37.3,21.21,2.73
27.0,26.5,6.271,37.3,21.21,2.73
27.0,27.0,6.325,36.84,21.62,2.78
27.0,27.5,6.325,36.91,21.7,2.88
27.0,28.0,6.3331,36.23,22.28,2.83
27.0,28.5,6.3331,36.53,22.1,3.05
27.0,29.0,6.3242,36.53,22.1,3.05
27.0,29.5,6.3242,37.57,21.61,3.14
27.0,30.0,6.2906,37.95,21.66,3.0
27.0,30.5,6.2906,37.0,21.96,3.03
27.0,31.0,6.3662,33.63,23.44,2.98
27.0,31.5,6.3662,33.63,23.44,2.98
27.0,32.0,6.383,33.84,22.24,3.19
27.0,32.5,6.383,33.07,22.62,3.22
27.0,33.0,6.2189,32.48,22.94,3.12
27.0,33.5,6.2189,42.7,24.17,4.07
27.5,25.0,6.2647,36.89,21.9,2.8
27.5,25.5,6.2647,38.16,21.4,2.75
27.5,26.0,6.271,38.26,21.54,2.74
27.5,26.5,6.271,38.26,21.54,2.74
27.5,27.0,6.325,38.26,21.71,2.81
27.5,27.5,6.325,39.01,21.49,2.91
27.5,28.0,6.3331,38.65,21.86,2.96
27.5,28.5,6.3331,39.64,21.39,3.15
27.5,29.0,6.3242,39.64,21.39,3.15
27.5,29.5,6.3242,39.7,21.53,3.12
27.5,30.0,6.2906,39.26,21.96,2.88
27.5,30.5,6.2906,37.41,22.61,2.95
27.5,31.0,6.3662,35.43,22.75,3.08
27.5,31.5,6.3662,35.43,22.75,3.08
27.5,32.0,6.383,36.1,21.56,3.18
27.5,32.5,6.383,35.61,21.71,3.35
27.5,33.0,6.2189,35.81,22.74,3.52
27.5,33.5,6.2189,51.09,25.1,5.07
27.5,34.0,6.0842,51.09,25.1,5.07
28.0,25.0,6.205,38.97,21.59,2.82
28.0,25.5,6.205,39.74,21.4,2.81
28.0,26.0,6.2184,40.07,21.48,2.81
28.0,26.5,6.2184,40.07,21.48,2.81
28.0,27.0,6.228,40.55,21.43,2.88
28.0,27.5,6.228,40.93,21.4,2.96
28.0,28.0,6.2246,41.37,21.37,3.08
28.0,28.5,6.2246,41.53,21.5,3.12
28.0,29.0,6.2033,41.53,21.5,3.12
28.0,29.5,6.2033,41.9,21.57,3.09
28.0,30.0,6.1574,40.67,22.19,3.03
28.0,30.5,6.1574,39.09,22.72,3.04
28.0,31.0,6.2758,38.31,22.15,3.07
28.0,31.5,6.2758,38.31,22.15,3.07
28.0,32.0,6.2448,38.52,20.96,3.23
28.0,32.5,6.2448,39.41,20.61,3.48
28.0,33.0,6.2894,40.77,23.41,4.58
28.0,34.0,6.227,46.62,24.45,4.12
28.0,34.5,6.227,41.23,26.16,3.49
28.5,25.0,6.205,41.18,21.36,2.83
28.5,25.5,6.205,41.74,21.35,2.83
28.5,26.0,6.2184,42.27,21.42,2.81
28.5,26.5,6.2184,42.27,21.42,2.81
28.5,27.0,6.228,42.73,21.46,2.81
28.5,27.5,6.228,43.31,21.41,2.89
28.5,28.0,6.2246,44.79,20.92,3.01
28.5,28.5,6.2246,44.41,21.29,3.15
28.5,29.0,6.2033,44.41,21.29,3.15
28.5,29.5,6.2033,44.18,21.59,3.17
28.5,30.0,6.1574,43.44,21.89,3.19
28.5,30.5,6.1574,41.89,22.45,3.06
28.5,31.0,6.2758,40.05,22.25,3.11
28.5,31.5,6.2758,40.05,22.25,3.11
28.5,32.0,6.2448,41.72,20.44,3.14
28.5,32.5,6.2448,44.27,20.31,3.46
28.5,33.5,6.2894,34.95,20.32,2.93
28.5,34.0,6.227,34.95,20.32,2.93
28.5,34.5,6.227,38.33,23.13,3.78
29.0,25.0,6.0475,43.6,21.27,2.78
29.0,25.5,6.0475,43.67,21.5,2.8
29.0,26.0,6.0041,43.89,21.79,2.83
29.0,26.5,6.0041,43.89,21.79,2.83
29.0,27.0,6.0343,43.83,22.23,2.74
29.0,27.5,6.0343,44.27,22.25,2.84
29.0,28.0,6.0754,46.15,21.55,3.03
29.0,28.5,6.0754,47.63,21.11,3.22
29.0,29.0,6.0883,47.63,21.11,3.22
29.0,29.5,6.0883,47.13,21.3,3.45
29.0,30.0,6.0286,47.41,21.28,3.22
29.0,30.5,6.0286,45.49,22.25,2.97
29.0,31.0,6.078,42.35,22.4,3.06
29.0,31.5,6.078,42.35,22.4,3.06
29.0,32.0,6.1397,44.19,20.52,3.13
29.0,32.5,6.1397,51.24,21.54,3.65
29.0,33.5,6.2131,42.34,18.39,3.05
29.0,34.0,6.1858,42.34,18.39,3.05
29.0,34.5,6.1858,43.18,19.5,3.48
29.5,25.0,6.0475,45.61,21.4,2.92
29.5,25.5,6.0475,45.83,21.49,3.03
29.5,26.0,6.0041,47.38,21.27,3.05
29.5,26.5,6.0041,47.38,21.27,3.05
29.5,27.0,6.0343,45.9,22.6,2.94
29.5,27.5,6.0343,47.0,22.46,2.95
29.5,28.0,6.0754,49.24,21.66,3.11
29.5,28.5,6.0754,51.73,20.85,3.23
29.5,29.0,6.0883,51.73,20.85,3.23
29.5,29.5,6.0883,52.5,20.52,3.38
29.5,30.0,6.0286,51.88,20.59,3.29
29.5,30.5,6.0286,48.41,22.07,3.22
29.5,31.0,6.078,46.23,22.14,3.21
